# DRON 
-4.99204 -3.17068e-06 25 
25.008 -3.17068e-06 25 
25.008 40 25 
-4.99204 40 25 
-4.99204 -3.17068e-06 25 
-4.99204 -3.17068e-06 55 
25.008 -3.17068e-06 55 
25.008 40 55 
-4.99204 40 55 
-4.99204 -3.17068e-06 55 
25.008 -3.17068e-06 55 
25.008 -3.17068e-06 25 
25.008 40 25 
25.008 40 55 
-4.99204 40 55 
-4.99204 40 25 

 # POWIERZCHNIA WODY 
-100 -100 100 
-100 -50 125 
-100 0 100 
-100 50 125 
-100 100 100 
-50 100 100 
-50 50 125 
-50 0 100 
-50 -50 125 
-50 -100 100 
-100 -100 100 
0 -100 100 
0 -50 125 
0 0 100 
0 50 125 
0 100 100 
-50 100 100 
50 100 100 
50 50 125 
50 0 100 
50 -50 125 
50 -100 100 
0 -100 100 
100 -100 100 
100 -50 125 
100 0 100 
100 50 125 
100 100 100 
50 100 100 

 # POWIERZCHNIA DNA 
-100 -100 0 
-100 100 0 
-50 100 0 
-50 -100 0 
0 -100 0 
0 100 0 
50 100 0 
50 -100 0 
100 -100 0 
100 100 0 
-100 100 0 
-100 -100 0 
100 -100 0 
100 -50 0 
-100 -50 0 
-100 0 0 
100 0 0 
100 50 0 
-100 50 0 
